State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price,Latitude,Longitude
maharashtra,sangli,aatpadi,Guava,Other,Local,28-02-2025,500,2800,1600,17.30916667,74.87861111
maharashtra,sangli,aatpadi,Chikoos(Sapota),Other,Local,28-02-2025,600,4000,2300,17.30916667,74.87861111
chattisgarh,raipur,abhanpur,Paddy(Dhan)(Common),I.R. 64,Non-FAQ,28-02-2025,2322,2388,2330,21.2514,81.6296
madhya pradesh,shajapur,agar,Potato,Potato,FAQ,28-02-2025,1300,1300,1300,23.32444444,76.75083333
gujarat,ahmedabad,ahmedabad,Lemon,Other,FAQ,28-02-2025,4000,6000,5650,22.15,71.89166667
gujarat,ahmedabad,ahmedabad,Guar,Other,FAQ,28-02-2025,4500,9000,7500,22.15,71.89166667
gujarat,ahmedabad,ahmedabad,Cucumbar(Kheera),Other,FAQ,28-02-2025,500,1000,800,22.15,71.89166667
gujarat,ahmedabad,ahmedabad,French Beans (Frasbean),Other,FAQ,28-02-2025,1500,3500,3000,22.15,71.89166667
gujarat,ahmedabad,ahmedabad,Elephant Yam (Suran),Other,FAQ,28-02-2025,5500,5800,5650,22.15,71.89166667
gujarat,ahmedabad,ahmedabad,Pumpkin,Other,FAQ,28-02-2025,500,800,650,22.15,71.89166667
gujarat,ahmedabad,ahmedabad,Surat Beans (Papadi),Other,FAQ,28-02-2025,2000,3000,2500,22.15,71.89166667
gujarat,ahmedabad,ahmedabad,Green Chilli,Other,FAQ,28-02-2025,1000,2500,1900,22.15,71.89166667
gujarat,ahmedabad,ahmedabad,Bitter gourd,Other,FAQ,28-02-2025,1500,3500,3000,22.15,71.89166667
gujarat,ahmedabad,ahmedabad,Bottle gourd,Other,FAQ,28-02-2025,500,1800,1050,22.15,71.89166667
gujarat,ahmedabad,ahmedabad,Capsicum,Capsicum,FAQ,28-02-2025,600,1200,850,22.15,71.89166667
gujarat,ahmedabad,ahmedabad,Cauliflower,Other,FAQ,28-02-2025,400,900,600,22.15,71.89166667
gujarat,ahmedabad,ahmedabad,Bhindi(Ladies Finger),Other,FAQ,28-02-2025,2500,5000,4250,22.15,71.89166667
gujarat,ahmedabad,ahmedabad,Beetroot,Other,FAQ,28-02-2025,500,1200,1050,22.15,71.89166667
gujarat,ahmedabad,ahmedabad,Drumstick,Other,FAQ,28-02-2025,2500,4500,3750,22.15,71.89166667
gujarat,ahmedabad,ahmedabad,Turmeric (raw),Other,FAQ,28-02-2025,2500,3500,3000,22.15,71.89166667
gujarat,ahmedabad,ahmedabad,Tinda,Other,FAQ,28-02-2025,2000,3500,2950,22.15,71.89166667
gujarat,ahmedabad,ahmedabad,Amla(Nelli Kai),Other,FAQ,28-02-2025,4000,5000,4500,22.15,71.89166667
gujarat,ahmedabad,ahmedabad,Cabbage,Other,FAQ,28-02-2025,200,400,325,22.15,71.89166667
gujarat,ahmedabad,ahmedabad,Carrot,Other,FAQ,28-02-2025,700,1200,1000,22.15,71.89166667
gujarat,ahmedabad,ahmedabad,Banana - Green,Other,FAQ,28-02-2025,1200,2000,1900,22.15,71.89166667
